Provider_name,Department,Researcher_Type,Profile_link,Provider_all_top_concepts,This_Concept,Publication_num,Pub_Range,Range_length,Last_Pub_year,Average
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline," Liver Diseases, Alcoholic",5, 2018-2021,3,2021,2020
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline," Liver Cirrhosis, Alcoholic",2, 2019-2021,2,2021,2020
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, United States,11, 2018-2022,4,2022,2020
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Health Policy,1, 2020-2020,1,2020,2020
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Medicaid,2, 2020-2021,1,2021,2021
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Commerce,1, 2021-2021,1,2021,2021
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Tobacco Products,1, 2021-2021,1,2021,2021
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Ethanol,2, 2021-2022,1,2022,2021
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Mortality,1, 2021-2021,1,2021,2021
"Brian P. Lee, MD",Medicine,Assistant Professor,https://researcherprofiles.org/profile/120101714,https://profiles.sc-ctsi.org/display/120101714/network/researchareas/timeline, Acute-On-Chronic Liver Failure,1, 2022-2022,1,2022,2022
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline,"Cardiomyopathy, Restrictive",1, 2012-2012,1,2012,2012
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Atrial Fibrillation,1, 2013-2013,1,2013,2013
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Cardiac Resynchronization Therapy,2, 2013-2014,1,2014,2013
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Tissue and Organ Procurement,1, 2014-2014,1,2014,2014
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline," Cardiomyopathy, Hypertrophic",3, 2012-2017,5,2017,2015
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Cause of Death,1, 2016-2016,1,2016,2016
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Heart Failure,9, 2013-2021,8,2021,2016
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Socioeconomic Factors,1, 2016-2016,1,2016,2016
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Registries,5, 2015-2018,3,2018,2016
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Survival Rate,4, 2013-2022,9,2022,2017
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Myocardium,6, 2008-2021,13,2021,2017
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Heart-Assist Devices,5, 2013-2021,8,2021,2017
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Heart Transplantation,20, 2012-2022,10,2022,2018
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Graft Rejection,8, 2014-2021,7,2021,2018
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Primary Graft Dysfunction,1, 2018-2018,1,2018,2018
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Arrhythmogenic Right Ventricular Dysplasia,3, 2016-2019,3,2019,2018
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Complement Activation,1, 2018-2018,1,2018,2018
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Isoantibodies,2, 2018-2019,1,2019,2019
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Kidney Transplantation,1, 2022-2022,1,2022,2022
Eugene Depasquale,Medicine,Assistant Professor,https://researcherprofiles.org/profile/52793903,https://profiles.sc-ctsi.org/display/52793903/network/researchareas/timeline, Renal Insufficiency,1, 2022-2022,1,2022,2022
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline,Religion and Medicine,4, 2004-2005,1,2005,2005
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Jehovah's Witnesses,7, 2004-2006,2,2006,2005
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Tissue Donors,8, 1997-2019,22,2019,2005
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Blood Transfusion,6, 2004-2007,3,2007,2005
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Kidney Transplantation,17, 1989-2022,33,2022,2008
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Graft Survival,21, 1989-2021,32,2021,2009
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Liver Diseases,8, 2001-2020,19,2020,2009
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Liver Failure,4, 2004-2018,14,2018,2010
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Hepatectomy,15, 2003-2021,18,2021,2011
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Graft Rejection,13, 1997-2022,25,2022,2012
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Living Donors,28, 2000-2022,22,2022,2012
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Liver Transplantation,61, 1989-2022,33,2022,2012
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Hepatorenal Syndrome,7, 2011-2019,8,2019,2014
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Hemostatics,3, 2007-2020,13,2020,2014
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Thrombin,3, 2007-2020,13,2020,2014
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Tissue and Organ Procurement,9, 2006-2022,16,2022,2016
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, End Stage Liver Disease,7, 2013-2020,7,2020,2016
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline," Cellulose, Oxidized",2, 2015-2020,5,2020,2018
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Transplant Recipients,4, 2018-2022,4,2022,2020
"Yuri S. Genyk, MD",Surgery,Professor,https://researcherprofiles.org/profile/177923,https://profiles.sc-ctsi.org/display/177923/network/researchareas/timeline, Donor Selection,2, 2020-2021,1,2021,2020
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline,Ribavirin,18, 2002-2018,16,2018,2012
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Hepatitis C,43, 2002-2021,19,2021,2013
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Liver Transplantation,57, 2002-2022,20,2022,2013
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Antiviral Agents,64, 2002-2021,19,2021,2013
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Hepacivirus,34, 2002-2021,19,2021,2014
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline," Hepatitis C, Chronic",24, 2005-2021,16,2021,2014
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Liver Cirrhosis,47, 2002-2022,20,2022,2015
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Hepatitis B,23, 2005-2021,16,2021,2015
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline," Hepatitis B, Chronic",33, 2003-2022,19,2022,2016
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Sofosbuvir,9, 2014-2021,7,2021,2016
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Liver Neoplasms,17, 2002-2022,20,2022,2016
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline," Carcinoma, Hepatocellular",18, 2002-2022,20,2022,2016
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline," Liver Diseases, Alcoholic",6, 2002-2021,19,2021,2017
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Hepatitis B virus,27, 2003-2022,19,2022,2017
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, End Stage Liver Disease,12, 2012-2020,8,2020,2017
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Hepatitis B e Antigens,14, 2003-2021,18,2021,2017
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Hepatitis B Antibodies,6, 2011-2022,11,2022,2019
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Non-alcoholic Fatty Liver Disease,14, 2016-2022,6,2022,2019
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline," Infectious Disease Transmission, Vertical",6, 2014-2021,7,2021,2019
"Norah Terrault, MD, MPH",Medicine,Professor,https://researcherprofiles.org/profile/39538173,https://profiles.sc-ctsi.org/display/39538173/network/researchareas/timeline, Hepatitis B Surface Antigens,17, 2008-2022,14,2022,2019
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline,"Drugs, Generic",1, 2006-2006,1,2006,2006
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Organ Transplantation,2, 2008-2009,1,2009,2009
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Living Donors,3, 2007-2015,8,2015,2010
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, BK Virus,3, 2009-2011,2,2011,2010
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Tissue Donors,6, 2003-2021,18,2021,2014
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Immunosuppressive Agents,9, 2006-2019,13,2019,2014
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Graft Rejection,16, 2006-2021,15,2021,2014
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Kidney Transplantation,25, 2003-2021,18,2021,2014
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Graft Survival,10, 2007-2020,13,2020,2014
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Mycophenolic Acid,4, 2011-2018,7,2018,2014
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Corneal Edema,1, 2015-2015,1,2015,2015
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Dry Eye Syndromes,1, 2015-2015,1,2015,2015
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Meibomian Glands,1, 2015-2015,1,2015,2015
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline," Kidney Failure, Chronic",7, 2003-2020,17,2020,2015
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Tacrolimus,4, 2011-2018,7,2018,2015
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Bortezomib,1, 2015-2015,1,2015,2015
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Everolimus,4, 2017-2019,2,2019,2018
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Calcineurin Inhibitors,2, 2018-2019,1,2019,2018
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Delayed Graft Function,1, 2019-2019,1,2019,2019
"Yasir Qazi, MD",Medicine,Associate Professor,https://researcherprofiles.org/profile/177738,https://profiles.sc-ctsi.org/display/177738/network/researchareas/timeline, Cell-Free Nucleic Acids,3, 2020-2021,1,2021,2021
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline,Organ Preservation Solutions,10, 1991-2000,9,2000,1996
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Hypertonic Solutions,5, 1997-2000,3,2000,1998
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Graft Rejection,34, 1989-2008,19,2008,1999
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Heart Transplantation,45, 1989-2017,28,2017,1999
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Reperfusion Injury,8, 1997-2005,8,2005,1999
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Cystic Fibrosis,14, 1994-2014,20,2014,2001
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline," Transplantation, Homologous",15, 1989-2008,19,2008,2001
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Photopheresis,8, 1995-2013,18,2013,2002
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline," Rats, Inbred Lew",12, 1998-2008,10,2008,2002
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Bronchiolitis Obliterans,8, 1996-2007,11,2007,2002
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Lung Transplantation,44, 1993-2021,28,2021,2004
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Lung,17, 1994-2021,27,2021,2004
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Living Donors,20, 1997-2021,24,2021,2004
"Mark Lee Barr, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/192233,https://profiles.sc-ctsi.org/display/192233/network/researchareas/timeline, Donor Selection,3, 2004-2006,2,2006,2005
